Sentimiento,Regiones
N,Pacho cundinamarca
N,San juan del cesar
P,Colombia
N,Atlantico
P,La calera
N,Valle del Cauca
N,Colombia
N,Atlantico
N,Riohacha 
N,Atlantico
N,Atlantico
P,Atlantico
N,Colombia
P,Colombia
N,Colombia bogota
N,Colombia
N,Colombia
N,Colombia
N,Planeta marte  colombia
N,Digiworld 
N,Cundinamarca
N,Valle del Cauca
N,Zn 
P,La perla del pacifico
N,La paloma
N,Colombia
P,Cota cundinamarca
N,Colombia
P,Colombia
N,Rio hacha caqueta
N,Ciudadano del mundo 
P,Santander
N,Colombia
N,New york
N,Colombia
N,Cundinamarca
P,Orlando
N,Pereira
N,Valle del Cauca
P,Cundinamarca
N,Colombia
P,Cundinamarca
N,Cundinamarca
N,Colombia
P,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
P,Colombia
N,Colombia
N,La perla del pacifico
N,Loja
N,La perla del pacifico
N,Antioquia
P,Hyperbolic time chamber
P,Colombia
N,Colombia
N,United states
N,Ecuador
P,Arauca
N,Cundinamarca
N,Cundinamarca
P,Cundinamarca
N,Santa marta
N,Colombia
P,Colombia
P,Neiva
N,Santiago de chile
N,Colombia
P,Colombia
N,Colombia
N,Colombia
P,Colombia
N,Brasil
N,Santiago de cali
N,El cosmos
P,Barrancabermeja
P,Barrancabermeja
N,Colombia
N,Eje cafetero
N,Colombia
N,Bogotcolombia
N,Colombia
N,Colombia
N,Colombia
N,Valle del Cauca
N,Colombia
P,Colombia
P,Cundinamarca
N,Marinilla town ant
N,Pereira
N,Colombia
N,Colombia
N,Caracas
N,Bogota 
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Planet earth
N,Colombia
N,Valledupar
N,Colombia
N,Neiva 
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Cundinamarca
N,Colombia
N,Bello
N,Tolima
N,Colombia
N,Colombia
N,Atlantico
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Junin
P,Colombia
N,Colombia
N,Bogota dc
P,Cundinamarca
P,Valle del cauca
N,Cundinamarca
N,Calle 5 26 04 alcazares
N,Colombia
N,Colombia
N,Tuquerres
N,Colombia
N,Colombia
N,Colombia
N,Atlantico
N,Col
N,Colombia
N,Antioquia
N,Antioquia
N,Colombia
N,Panama
N,Colombia
N,Colombia
N,Meta
N,Colombia
N,Colombia
N,Venezuela
N,Colombia
N,Cundinamarca
N,Colombia
N,Bogota colombia
N,Colombia
P,Buenaventura
N,Cundinamarca
N,Austin
N,Mexico
N,Colombia
N,Colombia
N,Ecuador
N,Charitas
N,Cundinamarca
N,Cundinamarca
N,Norte de santander
N,Cundinamarca
N,Colombia
N,Cartagena de indias
N,Valle del cauca
P,Barrancas
N,Buenos aires
P,Colombia
N,Colombia
P,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Santiago de cali
N,Caracas
N,Valledupar
N,Colombia
N,Quito
N,Colombia
N,Cundinamarca
N,Barrow
P,Colombia
N,Cundinamarca
N,Cundinamarca
N,Cundinamarca
N,San fernando es mi barrio
N,Colombia
N,Colombia
N,Hallandale beach
N,Colombia
N,Colombia
N,Colombia
P,New york
N,Colombia
N,Antioquia
N,Buenos aires
P,Colombia
N,Colombia
N,Colombia
N,Boynton beach
N,Colombia
N,Colombia
N,Colombia
N,Cundinamarca
N,Antioquia
N,Colombia
N,Morroa
N,Cundinamarca
N,North
N,Mexico
N,Richmond
N,Antioquia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Del pais de teofilo gutierrez
N,Del pais de teofilo gutierrez
N,Res twitter punto com pr
N,Cualquier parte
N,Colombia
N,Seul
N,Valledupar
N,Colombia
N,Neiva huila colombia
N,Colombia
N,Cualquier parte
N,Bournemouth uk
N,Castilla la nueva
N,Colombia
N,Colombia
N,Colombia
P,Bogota 
N,Everywhere
N,Colombia
N,Antioquia
N,Brooklyn
N,Antioquia
N,Medellin 
P,Cundinamarca
P,La casa de tu abuela
N,Venezuela
N,Cundinamarca
N,Valle del Cauca
N,Venezuela
N,Cundinamarca
N,Cundinamarca
N,Colombia
N,Peru
N,Colombia
N,Magangue
N,Battery city
N,Colombia
N,Colombia
N,Atlantico
N,Colombia
N,Colombia
N,Valle del Cauca
N,Colombia
N,Meta
N,Babahoyo 
N,Colombia
N,Colombia
N,Quito
N,Curacao
N,Colombia
N,Colombia
N,Antioquia
P,Colombia
N,Guayaquil 
N,Ecuador
N,Colombia
N,Quito
N,Colombia
N,Barrancabermeja
N,Colombia
N,Nueva york
N,Colombia
N,Colombia
N,Colombia
N,Guayaquil
N,Ecuador
N,Cundinamarca
N,Cundinamarca
N,Colombia
N,Colombia
N,Citizen of the world
N,Colombia
P,Antioquia
N,Colombia
N,Macondo
N,Boyaca
N,Cundinamarca
N,Colombia
N,Acacias
N,Colombia
P,Colombia
P,Colombia
P,Antioquia
P,Colombia
P,Bogota colombia
N,Colombia
N,Cundinamarca
P,Colombia
N,Colombia
N,Cundinamarca
N,Antioquia
N,Houston
N,Colombia
N,Buenos aires
N,10485792
N,Machala
N,Machala
N,Machala
N,Santiago
N,Colombia
N,Colombia 
N,Colombia
N,Ecuador
N, 
N,Argentina
N,Guatemala
N,Mexico
N,Colombia
NEU,Argentina buenos aires
N,Santo domingo
N,Cundinamarca
N,Colombia
N,Colombia
P,Cundinamarca
P,Santander
N,Santa rosa de cabal
N,Colombia
N,Irvine
N,Miami
N,Colombia
N,Cundinamarca
NEU,Colombia
N,Pereira
N,Colombia
N,Colombia
N,Colombia
N,Valledupar
N,Colombia
N,Colombia
N,Bogota dc colombia
